Country | GR0 | theta_1 (bcg_cov) | theta_2 (temperature) | theta_3 (humidity) | theta_4 (tests/1k) | theta_5 (positives/100test) | GR_T
Czechia | 1.2907054424285889 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2147750854492188
Pakistan | 1.1862056255340576 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.102676272392273
Luxembourg | 1.166108250617981 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.0520046949386597
Netherlands | 1.278678297996521 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.292633056640625
Canada / Quebec | 1.2738817930221558 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2540576457977295
Argentina | 1.2120521068572998 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1244183778762817
Austria | 1.236668348312378 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1856571435928345
Japan | 1.2182433605194092 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1574095487594604
Germany | 1.3974934816360474 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.348263144493103
Finland | 1.2942383289337158 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2198995351791382
Slovenia | 1.2113866806030273 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1260907649993896
Canada / British Columbia | 1.2708981037139893 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1493206024169922
South Africa | 1.286530613899231 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1786342859268188
